time,station,temp_c,temp_f,temp_f.1,wind_speed_km,wind_speed_miles,wind_speed_miles.1
2025-11-04 10:16:56 EST,KHGR,12,53.6,53.6,16.668,10.417499999999999,10.417499999999999
2025-11-04 10:44:53 EST,KHGR,13,55.4,55.4,18.504,11.565,11.565
2025-11-04 11:24:35 EST,KHGR,13,55.4,55.4,16.668,10.417499999999999,10.417499999999999
2025-11-04 11:51:28 EST,KHGR,14,57.2,57.2,18.504,11.565,11.565
2025-11-04 12:41:55 EST,KHGR,15,59,59,16.668,10.417499999999999,10.417499999999999
2025-11-04 13:30:42 EST,KHGR,16,60.8,60.8,18.504,11.565,11.565
2025-11-04 14:00:54 EST,KHGR,17,62.6,62.6,24.084,15.052499999999998,15.052499999999998
2025-11-04 14:16:31 EST,KHGR,17,62.6,62.6,25.92,16.2,16.2
2025-11-04 14:38:07 EST,KHGR,17,62.6,62.6,20.376,12.735,12.735
2025-11-04 15:24:51 EST,KHGR,17,62.6,62.6,24.084,15.052499999999998,15.052499999999998
2025-11-04 15:50:53 EST,KHGR,17,62.6,62.6,20.376,12.735,12.735
2025-11-04 16:18:37 EST,KHGR,16,60.8,60.8,14.832,9.27,9.27
2025-11-04 16:40:54 EST,KHGR,16,60.8,60.8,20.376,12.735,12.735
2025-11-04 17:24:11 EST,KHGR,14,57.2,57.2,12.96,8.1,8.1
2025-11-04 17:44:26 EST,KHGR,13,55.4,55.4,11.124,6.9525,6.9525
2025-11-04 18:20:20 EST,KHGR,12,53.6,53.6,14.832,9.27,9.27
2025-11-04 18:39:55 EST,KHGR,12,53.6,53.6,12.96,8.1,8.1
2025-11-04 20:28:31 EST,KHGR,11,51.8,51.8,9.252,5.7825,5.7825
2025-11-04 21:57:07 EST,KHGR,11,51.8,51.8,7.416,4.635,4.635
2025-11-04 22:48:05 EST,KHGR,11,51.8,51.8,5.544,3.4649999999999994,3.4649999999999994
2025-11-04 23:23:11 EST,KHGR,8,46.4,46.4,5.544,3.4649999999999994,3.4649999999999994
2025-11-04 23:45:11 EST,KHGR,8,46.4,46.4,0,0,0
2025-11-05 00:20:39 EST,KHGR,8,46.4,46.4,12.96,8.1,8.1
2025-11-05 00:45:10 EST,KHGR,7,44.6,44.6,9.252,5.7825,5.7825
2025-11-05 01:32:08 EST,KHGR,8,46.4,46.4,5.544,3.4649999999999994,3.4649999999999994
2025-11-05 01:54:10 EST,KHGR,7,44.6,44.6,11.124,6.9525,6.9525
2025-11-05 02:21:19 EST,KHGR,7,44.6,44.6,7.416,4.635,4.635
2025-11-05 02:41:06 EST,KHGR,7,44.6,44.6,7.416,4.635,4.635
2025-11-05 03:29:19 EST,KHGR,6,42.8,42.8,9.252,5.7825,5.7825
2025-11-05 03:52:19 EST,KHGR,7,44.6,44.6,7.416,4.635,4.635
2025-11-05 04:22:30 EST,KHGR,7,44.6,44.6,9.252,5.7825,5.7825
2025-11-05 04:45:45 EST,KHGR,6,42.8,42.8,7.416,4.635,4.635
2025-11-05 05:22:20 EST,KHGR,5,41,41,11.124,6.9525,6.9525
2025-11-05 05:46:51 EST,KHGR,6,42.8,42.8,9.252,5.7825,5.7825
2025-11-05 06:18:17 EST,KHGR,7,44.6,44.6,12.96,8.1,8.1
